,conv1,conv1_1,conv2,conv2_1,conv3,conv3_1,conv3_2,conv4,conv4_1,conv4_2,conv5,conv5_1,conv5_2,fc6,fc7,fc8a
72,-0.9801368188461848,-0.9633045590997582,-0.9446566788511752,-0.9028429505859428,-0.817863452590762,-0.7854659332553886,-0.761098151743639,-0.688356520952619,-0.6608455665759767,-0.6744491136142858,-0.5385883636191602,-0.5940251032799856,-0.6155994359999042,-0.605192815765515,-0.5498222043957423,-0.6494362562744602
73,-0.9466446610692489,-0.9307262344547831,-0.921268015507405,-0.9179139374504763,-0.8688466511342344,-0.8267787701078659,-0.8152336281962349,-0.7850475208259777,-0.7209133904662506,-0.7305577905211209,-0.697299238917111,-0.6890816812209181,-0.5964546566784814,-0.49491451689200555,-0.45222592494657726,-0.6384996605036533
74,-0.9186739467891352,-0.9214799844000146,-0.9052282746743622,-0.8911911820482156,-0.8370527373152905,-0.8042177601849415,-0.7858930514660241,-0.7732271019095207,-0.7424161479998529,-0.7064231881510339,-0.7303607705484295,-0.7085189505293004,-0.6389119369179002,-0.6354394828353782,-0.6090358221502836,-0.7127153143624883
75,-0.8947324381386395,-0.8837432725169472,-0.8857289891877196,-0.8930799030764309,-0.8376973776774037,-0.7982249874633323,-0.7831024348641964,-0.7485869659851503,-0.6619050094145388,-0.6514783940070219,-0.6694315578310941,-0.6277686539730067,-0.5211029482970098,-0.4378116546068358,-0.17381126575357297,-0.18140963949700495
76,-0.9526620948116118,-0.934946935470016,-0.9097873845055201,-0.868380898219477,-0.7922614832016333,-0.7563186151914758,-0.7104891399124216,-0.6504675474079786,-0.6196017530300428,-0.6097010176387204,-0.47942369065966384,-0.501462335920656,-0.39567660196522025,-0.38976699052402897,-0.3037828520591016,-0.1889028538336349
77,-0.9868010683838055,-0.9703818502258308,-0.9535451055689883,-0.9085255810636108,-0.8315115285961528,-0.815609156580988,-0.7807126715162029,-0.7203916388334466,-0.7206727254991698,-0.6845808310536337,-0.6135796462905867,-0.5910070963211101,-0.5105981260315431,-0.5764175108164837,-0.5318761579358855,-0.49424438400986803
78,-0.9348593615670888,-0.904347024552457,-0.8947883158089069,-0.8938708701598476,-0.8241886071344199,-0.7766170741321203,-0.7677052535109834,-0.7220343429569122,-0.6437819674297316,-0.6513631985612839,-0.6021361002198007,-0.5709115636027038,-0.5594919310367732,-0.48544234894251836,-0.3993768565903086,-0.5168196687128876
79,-0.8768766751995263,-0.8548504919514877,-0.8344406408173204,-0.8257397444580178,-0.7695085386433544,-0.7237762700264267,-0.7277878605936438,-0.7237847964666295,-0.6921373226047144,-0.7092786063524221,-0.7078006930543184,-0.656102955017601,-0.6111912575627009,-0.5293480445290546,-0.4793655531094939,-0.48953090853758185
80,-0.9457830235315844,-0.9353574822071118,-0.9343837189558986,-0.9254701551820659,-0.868534595389394,-0.8216859399547085,-0.7804114413157909,-0.7475565287255617,-0.7139744213808772,-0.6940395659388389,-0.6957635036986832,-0.6809934707905088,-0.6351565724227342,-0.4764355735930977,-0.3665843463148851,-0.44966450426926374
81,-0.9520369832300282,-0.945554901411614,-0.9172113837493527,-0.8731585717234129,-0.7946881425137976,-0.7471879454521917,-0.7069840145366206,-0.6564234793366135,-0.640456425570741,-0.6394385864834162,-0.5365283093637654,-0.5422883115056014,-0.565991138954941,-0.4284759596945883,-0.4221150041741038,-0.2672615175794538
82,-0.9660524609874188,-0.9466673855299657,-0.9251363880077514,-0.9020584001807265,-0.8307659795702648,-0.7927128393932352,-0.7761235842816,-0.7634695291217874,-0.726926450864497,-0.6890553677398663,-0.6554902951837325,-0.601813592573812,-0.45736805372624767,-0.467066918966991,-0.22379788347046065,-0.10529703412150629
83,-0.9481922778765427,-0.9389706213665598,-0.9277666437976533,-0.9106256395492187,-0.8501512211203375,-0.8084023423417828,-0.7832787900809708,-0.7570412540172978,-0.7075765782555232,-0.6816251118571557,-0.6827493421306756,-0.6506684358827746,-0.62990876802459,-0.4639132834951778,-0.4327934348794755,-0.6417375112689979
